Sentiment;Created at;Text;Hashtags
neutral;21.07.2016 08:51;"HotToys reveals Marvel Daredevilfigure
DaredevilS3 MCU CharlieCox Netflix Daredevil SDCC MarvelSDCC ";[{u'indices': [0, 8], u'text': u'HotToys'}, {u'indices': [17, 24], u'text': u'Marvel'}, {u'indices': [25, 41], u'text': u'Daredevilfigure'}, {u'indices': [42, 54], u'text': u'DaredevilS3'}, {u'indices': [55, 59], u'text': u'MCU'}, {u'indices': [60, 71], u'text': u'CharlieCox'}, {u'indices': [72, 80], u'text': u'Netflix'}, {u'indices': [81, 91], u'text': u'Daredevil'}, {u'indices': [92, 97], u'text': u'SDCC'}, {u'indices': [98, 109], u'text': u'MarvelSDCC'}]
neutral;21.07.2016 08:45;How the next few days are going to be like ~ SDCC2016 ;[{u'indices': [45, 54], u'text': u'SDCC2016'}]
neutral;21.07.2016 08:35;"Husband was putting on wetsuit when he randomly said ""but surely someone will photograph Benedict at   LHR or LAX"" cumberbatched SDCC";[{u'indices': [115, 129], u'text': u'cumberbatched'}, {u'indices': [130, 135], u'text': u'SDCC'}]
neutral;21.07.2016 08:51;I did the colors for this cover from DuckTales Cinestory Comic! Disney SDCC SDCC2016 ;[{u'indices': [37, 47], u'text': u'DuckTales'}, {u'indices': [65, 72], u'text': u'Disney'}, {u'indices': [73, 78], u'text': u'SDCC'}, {u'indices': [79, 88], u'text': u'SDCC2016'}]
negativ;21.07.2016 08:51;I feel like Benedict will get hate from some people if he's not at SDCC and he really shouldn't. So many people have their hopes up.;[]
positiv;21.07.2016 08:41;i hope lana's stylist for sdcc has an eye for fine beauty, or maybe something gay;[]
positiv;21.07.2016 08:34;I just entered to win a copy of  'The Fangirl LIfe' and you can too! Enter here:  SDCC2016;[{u'indices': [123, 132], u'text': u'SDCC2016'}]
negativ;21.07.2016 08:51;i just teared up a little bit ;[]
positiv;21.07.2016 08:47;I liked a  video from   Gears of War 4 SDCC 2016 - New Campaign Gameplay with Marcus Fenix;[]
positiv;21.07.2016 08:41;I liked a  video from   Pitu Filler While at SDCC! 1 Fan Mail Unboxing;[]
positiv;21.07.2016 08:40;I liked a  video from   Sarah Mertan Of Con Shark News At GameOfBloggers SDCC;[{u'indices': [98, 113], u'text': u'GameOfBloggers'}, {u'indices': [114, 119], u'text': u'SDCC'}]
positiv;21.07.2016 08:48;I may be old and in a wheelchair, but before I die, I will make it to SDCC!;[{u'indices': [70, 75], u'text': u'SDCC'}]
positiv;21.07.2016 08:46;I need this. ;[]
positiv;21.07.2016 08:43;I really need a deadpool  ;[]
positiv;21.07.2016 08:37;i really wanna go to sdcc one year man;[]
neutral;21.07.2016 08:51;I swear these Totinos are on a boat. SDCC ;[{u'indices': [37, 42], u'text': u'SDCC'}]
positiv;21.07.2016 08:37;i wanna go + meet  so bad :-((((((( ;[]
positiv;21.07.2016 08:43;I want it! O_O ;[]
positiv;21.07.2016 08:51;I would give so much to be at sdcc;[]
negativ;21.07.2016 08:46;if cody rocks up to sdcc and codyposey photos don't happen then what's the fucking point lads;[]
positiv;21.07.2016 08:37;If someone wants to take me to SDCC that'd be great;[]
positiv;21.07.2016 08:37;I'll have to say I'm liking all these free events for my favorite shows at SDCC! Hopefully this is the new thing! FTWD WynonnaEarp;[{u'indices': [75, 80], u'text': u'SDCC'}, {u'indices': [115, 120], u'text': u'FTWD'}, {u'indices': [121, 133], u'text': u'WynonnaEarp'}]
positiv;21.07.2016 08:43;"I'll never forget when I got to make dessert for  &amp;  when I still worked  supernatural fangirl sdcc";[{u'indices': [115, 128], u'text': u'supernatural'}, {u'indices': [129, 137], u'text': u'fangirl'}, {u'indices': [138, 143], u'text': u'sdcc'}]
neutral;21.07.2016 08:46;I'm actually gonna have to make sure my schedule is cleared up and a plan ahead so I can go to SDCC next year.;[]
negativ;21.07.2016 08:46;I'm crying  ;[]
negativ;21.07.2016 08:36;im sad that shelley and dylan won't be at sdcc it's just not the same without them;[]
positiv;21.07.2016 08:35;IM SO EXCITED FOR SDCC;[]
positiv;21.07.2016 08:34;It can't get better then falling asleep in a hammock under the San Diego sky listening to  sdcc hammocklife epicholiday;[{u'indices': [108, 113], u'text': u'sdcc'}, {u'indices': [114, 126], u'text': u'hammocklife'}, {u'indices': [127, 139], u'text': u'epicholiday'}]
positiv;21.07.2016 08:40;Its 3:40 AM and I am calling it a day, going to bed now. Hopefully, I can get the other SDCC exclusives that I want tomorrow.;[]
negativ;21.07.2016 08:40;It's that wonderful SDCC weekend again when everyone is at comic con and I'm bitter, sitting at home...;[]
neutral;21.07.2016 08:43;It's the fight of the century: me battling  to kick off ConanCon  SDCC2016 via ;[{u'indices': [68, 77], u'text': u'ConanCon'}, {u'indices': [102, 111], u'text': u'SDCC2016'}]
neutral;21.07.2016 08:47;July 21, 2016 at 04:47AM  at Comic Con SDCC 7th Year as press  ;[{u'indices': [62, 67], u'text': u'SDCC'}]
neutral;21.07.2016 08:35;Kicking off SDCC2016 with  and  ;[{u'indices': [12, 21], u'text': u'SDCC2016'}]
neutral;21.07.2016 08:36;MARVEL COMICS 2016 SDCC Hasbro Exclusive Marvel Legends Raft Sandman New Loose Figure:  $42.95End D...  EBAY US;[{u'indices': [0, 7], u'text': u'MARVEL'}, {u'indices': [8, 15], u'text': u'COMICS'}]
neutral;21.07.2016 08:38;"MCU Release Official Panel &amp; Signing Schedules ChadwickBoseman Will Be at SDCC
MarvelSDCC BlackPanther SDCC201 ";[{u'indices': [0, 4], u'text': u'MCU'}, {u'indices': [52, 68], u'text': u'ChadwickBoseman'}, {u'indices': [80, 85], u'text': u'SDCC'}, {u'indices': [86, 97], u'text': u'MarvelSDCC'}, {u'indices': [98, 111], u'text': u'BlackPanther'}, {u'indices': [112, 120], u'text': u'SDCC201'}]
negativ;21.07.2016 08:42;More from SDCC2016 PN. Going to bed for now. Even less sleep tomorrow and the day after. Good night! ;[{u'indices': [10, 19], u'text': u'SDCC2016'}]
positiv;21.07.2016 08:50;MY BODY IS READY ;[]
neutral;21.07.2016 08:36;My SDCC cosplay lineup. sdcc sdcc2016 cosplay ;[{u'indices': [24, 29], u'text': u'sdcc'}, {u'indices': [30, 39], u'text': u'sdcc2016'}, {u'indices': [40, 48], u'text': u'cosplay'}]
neutral;21.07.2016 08:45;"NEWS:
Holland, Tyler P. , Dylan S. , Cody, Khylin e Jeff Davis sono arrivati a San Diego SDCC2016";[{u'indices': [89, 98], u'text': u'SDCC2016'}]
positiv;21.07.2016 08:36;ngl every year I'm more excited about Nerd HQ than I am about the actual SDCC because the content quality is so much better;[]
negativ;21.07.2016 08:46;"Noodle &amp; Santana wondering why I'm not at SDCC !   It's cuz I'm in Australia and teleports don't exist :-( ";[{u'indices': [46, 51], u'text': u'SDCC'}]
neutral;21.07.2016 08:36;Odin, give me strength in the Vikings Vipers Den at SDCC! vikingssdcc  sweepstakes ;[{u'indices': [30, 38], u'text': u'Vikings'}, {u'indices': [53, 58], u'text': u'SDCC'}, {u'indices': [60, 72], u'text': u'vikingssdcc'}, {u'indices': [89, 101], u'text': u'sweepstakes'}]
neutral;21.07.2016 08:45;OH MY GOD ;[]
positiv;21.07.2016 08:38;Ok i need this ;[]
neutral;21.07.2016 08:46;Pinback Bobble Funko POP SDCC 2016 Suicide Squad 131 Underwater Batman Summer Convention  Store Mall;[{u'indices': [0, 8], u'text': u'Pinback'}, {u'indices': [9, 16], u'text': u'Bobble'}, {u'indices': [17, 23], u'text': u'Funko'}, {u'indices': [68, 75], u'text': u'Batman'}, {u'indices': [118, 124], u'text': u'Store'}, {u'indices': [125, 130], u'text': u'Mall'}]
neutral;21.07.2016 08:45;Please! ;[]
neutral;21.07.2016 08:49;POWER RANGERS Comic-Con Expectations!  via  sdcc powerrangers;[{u'indices': [75, 80], u'text': u'sdcc'}, {u'indices': [81, 94], u'text': u'powerrangers'}]
positiv;21.07.2016 08:46;Pssst if you're going to SDCC get your coffee in Lobby A. I'll be there so it's better.;[{u'indices': [25, 30], u'text': u'SDCC'}]
negativ;21.07.2016 08:38;really sad shelley is not going to sdcc ):;[]
positiv;21.07.2016 08:42;SanDiego is about to become a mini hollywood with celebrities roaming and fans in cosplay everywhere! SDCC Wish I had tix! ;[{u'indices': [0, 9], u'text': u'SanDiego'}, {u'indices': [36, 46], u'text': u'hollywood'}, {u'indices': [84, 92], u'text': u'cosplay'}, {u'indices': [105, 110], u'text': u'SDCC'}]
neutral;21.07.2016 08:42;"SDCC 2014 Marvel Promo Antman Movie 2015 20""x13"" Poster Comic Con Exclusive NM  ";[]
neutral;21.07.2016 08:43;SDCC 2016 Beast Kingdom Egg Attack Exclusive Golden Star Wars Sandtrooper  StarWars ;[{u'indices': [98, 107], u'text': u'StarWars'}]
neutral;21.07.2016 08:41;SDCC 2016 Exclusive Hasbro MAGIC The Gathering Zombie Planeswalker Card Set  ;[]
neutral;21.07.2016 08:39;SDCC 2016 Exclusive Sanrio Hello Kitty Upper Deck Bundle Pack - link in bio! ;[]
neutral;21.07.2016 08:41;"SDCC 2016: ""Rogue One: A Star Wars Story"" costume display in Lucasfilm b...  via ";[]
neutral;21.07.2016 08:43;SDCC Hasbro Exclusive Star Wars Black Series Obi Wan Kenobi Figure SDCC 2016 ;[{u'indices': [0, 5], u'text': u'SDCC'}]
neutral;21.07.2016 08:38;sdcc sdcctrade I have justice league and supergirl, will trade for suicide squ...  ;[{u'indices': [0, 5], u'text': u'sdcc'}, {u'indices': [6, 16], u'text': u'sdcctrade'}]
neutral;21.07.2016 08:43;SDCC Star Wars Sdcc 2016 Kylo Ren Comic Con Exclusive Black Series ;[{u'indices': [0, 5], u'text': u'SDCC'}]
negativ;21.07.2016 08:39;sdcc starts today im not ready;[]
neutral;21.07.2016 08:38;sdcc starts tomorrow im nutting;[]
neutral;21.07.2016 08:36;SDCC2016 Is in full swing! Check in with us tomorrow for updates!;[{u'indices': [0, 9], u'text': u'SDCC2016'}]
neutral;21.07.2016 08:48;"sdcc2016 preview coverage:
Here's a better shot of the joker in the batsuit.
.
.
.
.
hottoys sdcc sdcc2016... ";[{u'indices': [0, 9], u'text': u'sdcc2016'}, {u'indices': [86, 94], u'text': u'hottoys'}, {u'indices': [95, 100], u'text': u'sdcc'}, {u'indices': [101, 110], u'text': u'sdcc2016'}]
neutral;21.07.2016 08:45;"sdcc2016 preview coverage:
The suicide squad hot toys figures are looking H-O-T
.
.
.
.
hottoys sdcc sdcc2016... ";[{u'indices': [0, 9], u'text': u'sdcc2016'}, {u'indices': [89, 97], u'text': u'hottoys'}, {u'indices': [98, 103], u'text': u'sdcc'}, {u'indices': [104, 113], u'text': u'sdcc2016'}]
negativ;21.07.2016 08:37;Shana went to SDCC without me;[]
positiv;21.07.2016 08:38;Shut up and take my money ;[]
positiv;21.07.2016 08:46;"so basically if y'all want anything from SDCC
including any of the mac make up,
lemme know &amp;you'll pay me back for it before i give it to ya";[]
positiv;21.07.2016 08:42;"So cool meeting people in the real world. Way better than PokemonGO. Hope to ""catch"" more of you during SDCC.  ";[{u'indices': [58, 68], u'text': u'PokemonGO'}, {u'indices': [105, 110], u'text': u'SDCC'}]
negativ;21.07.2016 08:50;So jealous of the people at SDCC right now, I gots to get that ShockMaster figure;[]
positiv;21.07.2016 08:35;So many beautiful ppl in one gif ;[]
negativ;21.07.2016 08:41;So we are here at SDCC once again and after one night exhausted! ;[]
neutral;21.07.2016 08:44;Some announced Kotobukiya figures during SDCC!;[]
neutral;21.07.2016 08:43;Star Wars Meisho Teppou Ashigaru Sandtrooper 2016 SDCC Exclusive LIMITED IN HAND  StarWars ;[{u'indices': [105, 114], u'text': u'StarWars'}]
neutral;21.07.2016 08:41;Star Wars Sdcc 2016 Kylo Ren Comic Con Exclusive Black Series ;[]
positiv;21.07.2016 08:46;"Super excited to be at SDCC2016 &amp; grateful to get to see  &amp; looking forward to your panels! SGU ";[{u'indices': [23, 32], u'text': u'SDCC2016'}, {u'indices': [115, 119], u'text': u'SGU'}]
positiv;21.07.2016 08:38;Take my moneyyyyy fuuuckkkk that assss so grayson I'm lovin it already ;[]
positiv;21.07.2016 08:44;Taking a late night stroll around the Gaslamp and find these guys just floating over a pokestop love SDCC2016 ;[{u'indices': [87, 96], u'text': u'pokestop'}, {u'indices': [102, 111], u'text': u'SDCC2016'}]
positiv;21.07.2016 08:40;Teenage me would've worn the shit out of this. ;[]
neutral;21.07.2016 08:51;TFW GERARDS GONNA BE AT SDCC LLLLLLLLOOL kms;[]
positiv;21.07.2016 08:40;Thanks  for a great event! GameOfBloggers definitely kicked SDCC off. In pic w/  too! ;[{u'indices': [42, 57], u'text': u'GameOfBloggers'}, {u'indices': [76, 81], u'text': u'SDCC'}]
positiv;21.07.2016 08:40;Thanks to  for bringing GameOfBloggers back to sdcc for another round of fun.;[{u'indices': [39, 54], u'text': u'GameOfBloggers'}, {u'indices': [63, 68], u'text': u'sdcc'}]
negativ;21.07.2016 08:49;the fact that sdcc is this weekend and i am not there is something i will never get over;[]
neutral;21.07.2016 08:35;The Green Power Ranger To Appear In The PowerRangersMovie? [ PowerRangers SDCC ;[{u'indices': [40, 58], u'text': u'PowerRangersMovie'}, {u'indices': [86, 99], u'text': u'PowerRangers'}, {u'indices': [100, 105], u'text': u'SDCC'}]
positiv;21.07.2016 08:49;the haRLEY ONES ARE ALL SO PRECIOUS ;[]
neutral;21.07.2016 08:43;The latest AIA Entertainment Daily!  Thanks to   sdcc rncincle;[{u'indices': [97, 102], u'text': u'sdcc'}, {u'indices': [103, 112], u'text': u'rncincle'}]
neutral;21.07.2016 08:40;The latest Tequila Tech !  rncincle sdcc2016;[{u'indices': [50, 59], u'text': u'rncincle'}, {u'indices': [60, 69], u'text': u'sdcc2016'}]
neutral;21.07.2016 08:45;The latest The Steve O Daily!  Thanks to    rncincle sdcc;[{u'indices': [93, 102], u'text': u'rncincle'}, {u'indices': [103, 108], u'text': u'sdcc'}]
neutral;21.07.2016 08:41;The latest The TED Daily News!  Thanks to    dcsdcc sdcc;[{u'indices': [100, 107], u'text': u'dcsdcc'}, {u'indices': [108, 113], u'text': u'sdcc'}]
neutral;21.07.2016 08:35;The latest The Uncle Pappy Wolf Daily!  Thanks to    sdcc sdcc2016;[{u'indices': [102, 107], u'text': u'sdcc'}, {u'indices': [108, 117], u'text': u'sdcc2016'}]
neutral;21.07.2016 08:40;The latest Waiting for Action Comics 1000!  comicbookresources sdcc;[{u'indices': [68, 87], u'text': u'comicbookresources'}, {u'indices': [88, 93], u'text': u'sdcc'}]
positiv;21.07.2016 08:46;The Negan line up display at SDCC is incredible holy shit;[{u'indices': [29, 34], u'text': u'SDCC'}]
positiv;21.07.2016 08:42;There will be 2 Injustice 2 Characters reveals at SDCC, I am thrilled!;[{u'indices': [50, 55], u'text': u'SDCC'}]
positiv;21.07.2016 08:37;"These  Inside Out album covers are genius.

";[]
neutral;21.07.2016 08:34;This starting SDCC2016;[{u'indices': [14, 23], u'text': u'SDCC2016'}]
neutral;21.07.2016 08:37;"This Time Last Year! 2015 SDCC Hall Walkthrough &amp; Tour
";[]
positiv;21.07.2016 08:50;This weekend our admins will be on 24/7, bringing you the fastest SDCC updates. Follow our page and turn on our notifications!;[]
negativ;21.07.2016 08:38;Time for SDCC/Nerd HQ depression;[]
neutral;21.07.2016 08:49;To celebrate SDCC2016 a ThrowbackThursday to Rachel attending the convention in 2009 for SherlockHolmes ;[{u'indices': [13, 22], u'text': u'SDCC2016'}, {u'indices': [25, 43], u'text': u'ThrowbackThursday'}, {u'indices': [91, 106], u'text': u'SherlockHolmes'}]
negativ;21.07.2016 08:47;tom will be at sdcc and i won't. u all see what's wrong here? ;[]
neutral;21.07.2016 08:40;"Tonight my Ading and I went jogging and Pokemon hunting around Comic-Con 
 SDCC2016 ";[{u'indices': [91, 100], u'text': u'SDCC2016'}]
positiv;21.07.2016 08:37;Top 5 Most Anticipated Trailers of SDCC 2016  movies;[{u'indices': [69, 76], u'text': u'movies'}]
neutral;21.07.2016 08:50;Tory Mell Of Roddenberry Gives Zennie62 Star Trek 50th Pin SDCC ;[{u'indices': [59, 64], u'text': u'SDCC'}]
negativ;21.07.2016 08:50;Tried over 6 times to buy my funko exclusives on Barnes and noble and it's not working. Going back to bed! SDCC;[{u'indices': [107, 112], u'text': u'SDCC'}]
neutral;21.07.2016 08:36;Tsum Tsum Disney Star Wars Han Solo - Greedo -  2016 SDCC Exclusive Comic Con  ;[]
negativ;21.07.2016 08:34;"unfortunately she's not. :(

I think because she's filming a new film but I'm not sure ";[]
positiv;21.07.2016 08:37;Vikings has got a lot happening this year at SDCC, make sure to visit the booth and attend the panel and signing! ;[{u'indices': [0, 8], u'text': u'Vikings'}, {u'indices': [46, 51], u'text': u'SDCC'}]
positiv;21.07.2016 08:34;Walking the beat for those sdcc stories,part 1. And there's even more fun outside! ;[{u'indices': [27, 32], u'text': u'sdcc'}]
neutral;21.07.2016 08:46;"WalkingDead Walking Dead Color Negan &amp; Glen 2-Pak SDCC 2016 In Hand  TV Series ";[{u'indices': [0, 12], u'text': u'WalkingDead'}, {u'indices': [97, 100], u'text': u'TV'}, {u'indices': [101, 108], u'text': u'Series'}]
neutral;21.07.2016 08:48;Watch on Periscope: SDCC startrekbeyondpremiere ;[{u'indices': [9, 19], u'text': u'Periscope'}, {u'indices': [21, 26], u'text': u'SDCC'}, {u'indices': [27, 50], u'text': u'startrekbeyondpremiere'}]
positiv;21.07.2016 08:45;"We will be giving out 200 limited edition Shadow Link Figures at SDCC July 22 &amp;23!! Follow  for details on giveaway locations!";[{u'indices': [65, 70], u'text': u'SDCC'}]
neutral;21.07.2016 08:50;Welcome to the boat with these dipshits. feralaudio sdcc2016 totinospizzarolls ;[{u'indices': [41, 52], u'text': u'feralaudio'}, {u'indices': [53, 62], u'text': u'sdcc2016'}, {u'indices': [63, 81], u'text': u'totinospizzarolls'}]
negativ;21.07.2016 08:44;what should i wear for sdcc PLEASE HELP;[]
neutral;21.07.2016 08:51;When SDCC is almost here you gotta jet to Texas for family vacation on Friday... ;[]
negativ;21.07.2016 08:37;When sdcc is like only 30min from home but 30min is still 30min...... firstworldproblems iwishihadticketsandtime;[{u'indices': [5, 10], u'text': u'sdcc'}, {u'indices': [71, 90], u'text': u'firstworldproblems'}, {u'indices': [91, 115], u'text': u'iwishihadticketsandtime'}]
negativ;21.07.2016 08:36;Worst. SDCC. Ever.;[]
neutral;21.07.2016 08:41;Ya never know who you'll run in to at 1:30 in the morning in San Diego.  ComicCon2016 SDCC2016 ;[{u'indices': [88, 101], u'text': u'ComicCon2016'}, {u'indices': [102, 111], u'text': u'SDCC2016'}]
negativ;21.07.2016 08:51;YALC next week and SDCC2016 this weekend and I'm going to neither of them. ;[{u'indices': [0, 5], u'text': u'YALC'}, {u'indices': [20, 29], u'text': u'SDCC2016'}]
negativ;21.07.2016 08:43;Years ago we discovered a dear friend had terrible sleep apnea. Never again, I thought. But now I'm reliving the nightmare. SDCC;[{u'indices': [124, 129], u'text': u'SDCC'}]
