positiv;19.07.2016 09:22;nnnnnnnice! ;[]
positiv;19.07.2016 09:33;Not a bad room: sdcc ;[{u'indices': [16, 21], u'text': u'sdcc'}]
negativ;19.07.2016 09:22;oh crap SDCC is this weekend. so much for a day off.;[]
neutral;19.07.2016 10:30;"Oliver Stone to make his ComicCon debut with a screening of ""Snowden""  SDCC2016 ";[{u'indices': [25, 34], u'text': u'ComicCon'}, {u'indices': [95, 104], u'text': u'SDCC2016'}]
neutral;19.07.2016 09:25;On which day and time is the ouat panel at SDCC?;[]
neutral;19.07.2016 10:31;Pinback Bobble Patina Batman Funko Pop SDCC Exclusive  Store Mall;[{u'indices': [0, 8], u'text': u'Pinback'}, {u'indices': [9, 16], u'text': u'Bobble'}, {u'indices': [24, 31], u'text': u'Batman'}, {u'indices': [32, 38], u'text': u'Funko'}, {u'indices': [82, 88], u'text': u'Store'}, {u'indices': [89, 94], u'text': u'Mall'}]
neutral;19.07.2016 09:40;Pinback Bobble SDCC 2016 DOOMSDAY Superman V Batman Funko Pop Pre Order Guaranteed  Store Mall;[{u'indices': [0, 8], u'text': u'Pinback'}, {u'indices': [9, 16], u'text': u'Bobble'}, {u'indices': [47, 54], u'text': u'Batman'}, {u'indices': [55, 61], u'text': u'Funko'}, {u'indices': [111, 117], u'text': u'Store'}, {u'indices': [118, 123], u'text': u'Mall'}]
negativ;19.07.2016 10:20;Pro-tip: why wait until AFTER SDCC to get sick when you can just fly out of the Orlando airport and already feel physically exhausted!;[{u'indices': [30, 35], u'text': u'SDCC'}]
neutral;19.07.2016 10:25;Quick stop for Starbucks Quad espresso before the flight to SDCC. preflight;[{u'indices': [15, 25], u'text': u'Starbucks'}, {u'indices': [61, 66], u'text': u'SDCC'}, {u'indices': [68, 78], u'text': u'preflight'}]
positiv;19.07.2016 10:15;Really excited to be doing the Arrow press room at SDCC again this year. Send any Qs my way, Internet friends!;[{u'indices': [31, 37], u'text': u'Arrow'}, {u'indices': [52, 57], u'text': u'SDCC'}]
neutral;19.07.2016 09:31;"Retweeted Bill Sienkiewicz (

Midnight Oil.
Wrapped SDCC commission. Aeon Flux.  ";[]
neutral;19.07.2016 09:29;Rise and shine, humans. Time to begin the journey to SDCC2016! HasbroSDCC MTG lastminutepacking;[{u'indices': [53, 62], u'text': u'SDCC2016'}, {u'indices': [64, 75], u'text': u'HasbroSDCC'}, {u'indices': [76, 80], u'text': u'MTG'}, {u'indices': [81, 99], u'text': u'lastminutepacking'}]
neutral;19.07.2016 10:31;San Diego comic con bound! sdcc2016 sdcc sandiegocomiccon ;[{u'indices': [27, 36], u'text': u'sdcc2016'}, {u'indices': [37, 42], u'text': u'sdcc'}, {u'indices': [43, 60], u'text': u'sandiegocomiccon'}]
neutral;19.07.2016 10:04;SDCC 2016 Comic-Con 5 days Wed-Sunday Convention Center Parking Voucher:  C $325.06End Date: Monday...  Deals_CA;[{u'indices': [127, 136], u'text': u'Deals_CA'}]
neutral;19.07.2016 09:40;"SDCC 2016 NECA Aliens 30th Anniversary Newt action figure 7"", limited exclusive  ";[]
neutral;19.07.2016 10:26;SDCC 2016 SDCC Exclusive Mattel DC Super Hero Girls KATANA Doll Figure *Pre-Sale!* ;[{u'indices': [0, 5], u'text': u'SDCC'}]
neutral;19.07.2016 10:00;"SDCC 2016: Broadcast Thought's Breaking Badder &amp; ""Crazy"" Talk sdcc sdcc2016 ";[{u'indices': [66, 71], u'text': u'sdcc'}, {u'indices': [72, 81], u'text': u'sdcc2016'}]
neutral;19.07.2016 10:25;SDCC 2016: Ray Palmer alias The Atom LEGO Minifigur vorgestellt [Promobricks]  Lego ;[{u'indices': [102, 107], u'text': u'Lego'}]
neutral;19.07.2016 09:29;SDCC commission Aeon Flux 11x17 (28x43cm) watercolor ;[]
positiv;19.07.2016 09:47;SDCC here we come!! SanDiegoComicCon  ComicCon2016 ;[{u'indices': [0, 5], u'text': u'SDCC'}, {u'indices': [21, 38], u'text': u'SanDiegoComicCon'}, {u'indices': [40, 53], u'text': u'ComicCon2016'}]
neutral;19.07.2016 10:24;SDCC Hotel Room Share available at Marriott Marquis Marina. Looking for 1-2 more ppl $365 to $300 for 4 nights Wed to Sunday. DM us today.;[{u'indices': [0, 5], u'text': u'SDCC'}]
neutral;19.07.2016 09:51;"SDCC Toynami Futurama Destructor &amp; Bender Gender Boxed Set Limited Edition 2013   futurama";[{u'indices': [109, 118], u'text': u'futurama'}]
neutral;19.07.2016 09:50;SDCC: DK Authors' Schedule: Click through for details on DK's panels and signings at this years San Diego Comic Con. ;[]
negativ;19.07.2016 09:44;Shit shit shiiiiiiiiit all these sdcc updates and I'm in public and I wanna either cry or scream oh my gooooooooooood;[]
neutral;19.07.2016 09:47;Signing off from London. Headed now to SDCC where I'll be signing at DK's Star Wars booth! ;[{u'indices': [39, 44], u'text': u'SDCC'}]
positiv;19.07.2016 09:34;So Im doing 5 mins  tonight.... I feel like I want to lay into sdcc like a fanboy! HALL H IS FOR PUSSIES!!!;[{u'indices': [78, 83], u'text': u'sdcc'}]
positiv;19.07.2016 10:30;Some pretty outstanding memories are made during SDCC. See which ones made our best list:  ;[{u'indices': [49, 54], u'text': u'SDCC'}]
neutral;19.07.2016 09:59;'Star Trek Beyond' and SDCC 2016 are coming, Pokemon Go gets big (CNET's Open_Tab Ep. 7 show notes)  tech news;[{u'indices': [124, 129], u'text': u'tech'}, {u'indices': [130, 135], u'text': u'news'}]
neutral;19.07.2016 10:03;Star Wars may be skipping out on SDCC2016 but this dork right here sure isn't ;[{u'indices': [33, 42], u'text': u'SDCC2016'}]
neutral;19.07.2016 09:27;Supernatural always SPN ;[{u'indices': [20, 24], u'text': u'SPN'}]
positiv;19.07.2016 10:21;Thanks guys! ;[]
neutral;19.07.2016 09:42;That's aaalllotttaaaa ink, baby. ;[]
positiv;19.07.2016 09:44;The adventure begins as we head to SDCC2016  thanks to  I have some inflight reading! ;[{u'indices': [35, 44], u'text': u'SDCC2016'}]
neutral;19.07.2016 10:09;"The BatmanvSupermanDawnofJustice Experience will be at ComicCon
DCEU SDCC SDCC2016 Superman HenryCavill ";[{u'indices': [4, 33], u'text': u'BatmanvSupermanDawnofJustice'}, {u'indices': [56, 65], u'text': u'ComicCon'}, {u'indices': [66, 71], u'text': u'DCEU'}, {u'indices': [72, 77], u'text': u'SDCC'}, {u'indices': [78, 87], u'text': u'SDCC2016'}, {u'indices': [88, 97], u'text': u'Superman'}, {u'indices': [98, 110], u'text': u'HenryCavill'}]
neutral;19.07.2016 10:24;The journey to San Diego begins! sandiego sdcc ;[{u'indices': [33, 42], u'text': u'sandiego'}, {u'indices': [43, 48], u'text': u'sdcc'}]
neutral;19.07.2016 09:37;The KongSkullIsland panel happens at SDCC in FOUR days! ThisIsNotADrill;[{u'indices': [4, 20], u'text': u'KongSkullIsland'}, {u'indices': [38, 43], u'text': u'SDCC'}, {u'indices': [58, 74], u'text': u'ThisIsNotADrill'}]
neutral;19.07.2016 09:26;The latest 3MY Digital Comics Social!  Thanks to    dcsdcc sdcc2016;[{u'indices': [113, 120], u'text': u'dcsdcc'}, {u'indices': [121, 130], u'text': u'sdcc2016'}]
neutral;19.07.2016 09:28;The latest The Action Figures Daily!  Thanks to    sdcc ghostbusters;[{u'indices': [109, 114], u'text': u'sdcc'}, {u'indices': [115, 128], u'text': u'ghostbusters'}]
negativ;19.07.2016 10:10;The voyage to SDCC has begun. En route to Newark Airport. Haven't slept since 8am yesterday.;[{u'indices': [14, 19], u'text': u'SDCC'}]
neutral;19.07.2016 10:03;These are our TSA security line faces! San Diego here we come! sdcc2016 ITMODcon ;[{u'indices': [63, 72], u'text': u'sdcc2016'}, {u'indices': [73, 82], u'text': u'ITMODcon'}]
positiv;19.07.2016 09:30;This man is still one of my favourite comic book artists of all times. ;[]
neutral;19.07.2016 09:31;This SDCC rumour about Batwoman and Oracle being in Supergirl Season 2 sounds like a back-door pilot for a Birds Of Prey show...;[{u'indices': [5, 10], u'text': u'SDCC'}]
neutral;19.07.2016 09:35;Today on EWML (8am ET) it's time for our official SDCC2016 preview! Plus, StarTrekBeyond's  ;[{u'indices': [50, 59], u'text': u'SDCC2016'}, {u'indices': [75, 90], u'text': u'StarTrekBeyond'}]
neutral;19.07.2016 10:31;TouchArcade wrote, 'BATMAN - The Telltale Series' Releases in August, Game to Be Shown for the First Time at ... ;[]
neutral;19.07.2016 10:16;Up and at 'em ! Time to fly to Whale's Vagina (San Diego)! SDCC2016 SDCC;[{u'indices': [59, 68], u'text': u'SDCC2016'}, {u'indices': [69, 74], u'text': u'SDCC'}]
positiv;19.07.2016 10:13;Very excited for everyone attending SDCC this week, have fun, be safe, hydrate.;[]
neutral;19.07.2016 10:02;Vote Klaroline , 11 hours left ! ;[]
neutral;19.07.2016 10:01;What should I ask the  SDCC cast JoshHolloway SarahWayneCallies  PeterJacobso  ColonyUSA;[{u'indices': [33, 38], u'text': u'SDCC'}, {u'indices': [44, 57], u'text': u'JoshHolloway'}, {u'indices': [58, 76], u'text': u'SarahWayneCallies'}, {u'indices': [91, 104], u'text': u'PeterJacobso'}, {u'indices': [118, 128], u'text': u'ColonyUSA'}]
negativ;19.07.2016 09:53;would give my left leg to be at SDCC2016 this weekend;[{u'indices': [32, 41], u'text': u'SDCC2016'}]
positiv;19.07.2016 09:40;WOW!!! Look!   ;[]
positiv;19.07.2016 09:30;Wow. Stunning work, as ever. ;[]
neutral;19.07.2016 09:56;Writer friends, who am I seeing at SDCC FB;[{u'indices': [35, 40], u'text': u'SDCC'}, {u'indices': [41, 44], u'text': u'FB'}]
neutral;19.07.2016 10:00;YA Author Appearances and Signings at SDCC -  ;[{u'indices': [38, 43], u'text': u'SDCC'}]
positiv;19.07.2016 09:35;You guys want to look at, and get awesome original art? Go see  during the SDCC ! ;[{u'indices': [87, 92], u'text': u'SDCC'}]
positiv;20.07.2016 04:13;   fandomcc sdcc im all about the teenage mutant ninja turtles;[{u'indices': [34, 43], u'text': u'fandomcc'}, {u'indices': [44, 49], u'text': u'sdcc'}]
positiv;20.07.2016 04:10;   if i get lucky and get in, I will do :-);[]
neutral;20.07.2016 04:08;   It's like he knows you or something. LOL;[]
neutral;20.07.2016 04:21;" - dude... sdcc &amp; doubledare - you complete me. How do I get slimed on Friday? I have my helmet and goggles ready!";[{u'indices': [20, 25], u'text': u'sdcc'}, {u'indices': [32, 43], u'text': u'doubledare'}]
negativ;20.07.2016 04:27;  I almost got in a fight at a MyLittlePony CON. No way they'll let me in at SDCC2016;[{u'indices': [54, 67], u'text': u'MyLittlePony'}, {u'indices': [101, 110], u'text': u'SDCC2016'}]
positiv;20.07.2016 04:21;  I hope to get a seat! Very excited to attend. SDCC2016;[{u'indices': [71, 80], u'text': u'SDCC2016'}]
neutral;20.07.2016 04:02;  i know you were all joking, but yes... I am going to SDCC on Friday. Friday only though.;[]
neutral;20.07.2016 04:14;  I need to go to SDCC one year soon;[{u'indices': [46, 51], u'text': u'SDCC'}]
positiv;20.07.2016 04:10;  ready for an awesome week of shows.  SDCC2016;[{u'indices': [60, 69], u'text': u'SDCC2016'}]
negativ;20.07.2016 04:20;  So jealous. Wish you could fit me in your suitcase and take me to SDCC;[]
positiv;20.07.2016 04:29;  Yay! You are already on my List of People to See. (No, I really have an actual list.) SDCC friends;[{u'indices': [112, 117], u'text': u'SDCC'}, {u'indices': [118, 126], u'text': u'friends'}]
neutral;20.07.2016 04:15; ~ sale for SDCC?;[]
neutral;20.07.2016 04:01; allthethings you need to know!   ;[{u'indices': [17, 30], u'text': u'allthethings'}]
positiv;20.07.2016 04:19; Amanda says the same thing. We've never been to SDCC but would love to go at least once. Have you been before?;[]
neutral;20.07.2016 04:25; angie vote for Klaroline too ;[]
neutral;20.07.2016 04:06; are you guys at a specific booth at sdcc this year?;[]
neutral;20.07.2016 04:10;" between this &amp;   you wonder what won't be won't be streamed ";[]
neutral;20.07.2016 04:24;" cyn I came to collect 
";[]
positiv;20.07.2016 04:12; has your chance to win San Diego Comic-Con International Passes.  comiccon SDCC2016 ;[{u'indices': [77, 86], u'text': u'comiccon'}, {u'indices': [87, 96], u'text': u'SDCC2016'}]
neutral;20.07.2016 04:29; hi no I won't be at sdcc.  Sorry. I'm also out of stock on older gig;[]
neutral;20.07.2016 04:27; hope I'm not bothering...but Jared offer is still on the table...Happy SDCC;[]
neutral;20.07.2016 03:59; I was slightly upset that they didn't have 2 and 3... but I'm going to SDCC so I plan on getting ALL THE REST. HAHA.;[]
neutral;20.07.2016 04:11; it 9:10 im going to sleep ready for SDCC tomorrow;[]
neutral;20.07.2016 04:18; It's been 84 years since I was at a SDCC past pre-party;[]
negativ;20.07.2016 04:10; it's just another reason ComicCon needs to leave San Diego. It could be so much better. SDCC2016 ;[{u'indices': [29, 38], u'text': u'ComicCon'}, {u'indices': [93, 102], u'text': u'SDCC2016'}]
neutral;20.07.2016 04:06; KidCoulson is growing/moving Up lol SDCC;[{u'indices': [12, 23], u'text': u'KidCoulson'}, {u'indices': [49, 54], u'text': u'SDCC'}]
neutral;20.07.2016 03:59; lol it's ok i need to pack for sdcc. we land at 10:45ish;[]
positiv;20.07.2016 04:22; Looking forward to your coverage of sdcc this week!!;[{u'indices': [52, 57], u'text': u'sdcc'}]
negativ;20.07.2016 04:27; man am hating. Well hope we see a SDCC music video;[]
positiv;20.07.2016 04:16; Man, I'd love to get my hands on one of those, even if it wasn't signed! Have fun everyone lucky enough to attend SDCC!;[{u'indices': [127, 132], u'text': u'SDCC'}]
neutral;20.07.2016 03:59; OH I made a typo so I deleted it. Toronto, Sept 1-4, the Canadian version of SDCC with only 3 celebrities;[]
neutral;20.07.2016 04:30; okay buy me tickets to SDCC2016 so I can go and get one, thx;[{u'indices': [40, 49], u'text': u'SDCC2016'}]
negativ;20.07.2016 04:17; on behalf of everyone at SDCC, both better be phenomenal after all this hype, Brad.;[]
neutral;20.07.2016 04:18; please vote stelena and  it so others can see. It's very important! ;[]
positiv;20.07.2016 04:18; r u gonna be at ComicCon SDCC2016 I'm there the whole time! V. Excited! scifi fantasy movies;[{u'indices': [29, 38], u'text': u'ComicCon'}, {u'indices': [39, 48], u'text': u'SDCC2016'}, {u'indices': [87, 93], u'text': u'scifi'}, {u'indices': [94, 102], u'text': u'fantasy'}, {u'indices': [103, 110], u'text': u'movies'}]
neutral;20.07.2016 04:05; so are you gonna be at SDCC? Or maybe can we expect a live reaction to the Sonic livestream Friday?;[]
positiv;20.07.2016 04:04;" so much D.Va., so much Junkrat, so much time going into fun &amp; stress relief, but SDCC is nigh upon you, can you feel the hype";[]
positiv;20.07.2016 04:17; sorry to hear you wont be at SDCC. A friend of yours bought a birthday present for you from CFX last year. Hope you enjoyed it!;[]
negativ;20.07.2016 04:21;" tweeted he's going.
 said he's going on Snapchat Can someone hug me, I just made a big mistake ";[]
positiv;20.07.2016 04:19; Wait. Gloat. Plot. I dunno, the beer idea sounds pretty good. (I miss SDCC!);[]
neutral;20.07.2016 04:16;" we put our main plans to Japan and Ax, sdcc if got budget ;w;";[]
positiv;20.07.2016 04:29; We've added  events! Hope we can be added to your wonderful SDCC2016 guide!  ;[{u'indices': [90, 99], u'text': u'SDCC2016'}]
neutral;20.07.2016 04:27; whats up with SDCC Fandom Fest?? :(;[]
neutral;20.07.2016 04:17; when you come down to San Diego for SDCC2016 Hit up Balboa Park, its Lit Baybeee!!! ;[{u'indices': [52, 61], u'text': u'SDCC2016'}]
neutral;20.07.2016 04:11;" Will you attend the ""Her Universe Fashion Show"" at SDCC to support ";[]
neutral;20.07.2016 04:16; will you be releasing all the  pins on preview night? sdcc;[{u'indices': [80, 85], u'text': u'sdcc'}]
positiv;20.07.2016 04:13; woot woot!! So very proud.  Next stop: 100k!! I'm looking forward to seeing you again at SDCC! XD;[]
neutral;20.07.2016 04:30; would it still be wise to still possibly expect a house announcement for this week (As SDCC2016 comes around...)?;[{u'indices': [101, 110], u'text': u'SDCC2016'}]
neutral;20.07.2016 04:22; You will break into song, correct? SDCC2016 ;[{u'indices': [45, 54], u'text': u'SDCC2016'}]
neutral;20.07.2016 04:07;"""Are Varys and Petyr really time travellers?"" ";[]
negativ;20.07.2016 04:01;.  Apparently it's time to embarrass ourselves at SDCC.;[{u'indices': [79, 84], u'text': u'SDCC'}]
neutral;20.07.2016 04:00;. fans this week at SDCC we will be interviewing the cast of iZombie! Be sure to tweet us all of your questions for them!;[{u'indices': [30, 35], u'text': u'SDCC'}, {u'indices': [72, 80], u'text': u'iZombie'}]
neutral;20.07.2016 04:12;. reveals new poster for LukeCage ahead of Comic Con:  SDCC2016 ;[{u'indices': [32, 41], u'text': u'LukeCage'}, {u'indices': [86, 95], u'text': u'SDCC2016'}]
neutral;20.07.2016 04:27;[Photographer] I will be at SDCC taking pictures of Cosplyers for Cosplay Culture Magazine at SDCC. viraltoday ;[{u'indices': [100, 111], u'text': u'viraltoday'}]
neutral;20.07.2016 04:06;2016 FUNKO EXCLUSIVE POP! DEADPOOL 117 COWBOY Thumbs Up! MARVEL SDCC ;[]
